epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
97,6579.05,0.59607,0.41069,0.95418,0.99556,0.99481,0.9947,0.94192,0.32174,0.1844,0.80792,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,6646.76,0.58624,0.39777,0.9504,0.996,0.99588,0.99485,0.94387,0.31903,0.18357,0.80739,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,6714.67,0.58556,0.40558,0.94823,0.99632,0.99414,0.99475,0.94372,0.31666,0.18303,0.8055,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,6782.81,0.5812,0.40095,0.94689,0.99613,0.99576,0.99485,0.94535,0.31287,0.18025,0.8045,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,6851.16,0.58263,0.40283,0.94996,0.99734,0.99432,0.99489,0.94559,0.31278,0.18045,0.80475,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,6919.31,0.58062,0.40107,0.95039,0.99735,0.99494,0.99488,0.9478,0.30891,0.17845,0.80269,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,6987.6,0.58087,0.3973,0.94859,0.9981,0.99503,0.99494,0.94883,0.30628,0.17753,0.80286,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,7055.97,0.57888,0.40077,0.949,0.99742,0.99516,0.99479,0.94922,0.30382,0.1763,0.80159,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,7124.23,0.57716,0.40066,0.94751,0.99698,0.99651,0.99492,0.95041,0.30016,0.17533,0.80012,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,7191.39,0.56609,0.39052,0.93922,0.99788,0.99629,0.99495,0.95177,0.29868,0.1733,0.79855,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,7259.6,0.57158,0.39443,0.945,0.99728,0.99667,0.99497,0.95251,0.29542,0.17162,0.79918,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,7328.01,0.56388,0.38663,0.94253,0.99833,0.99622,0.99497,0.95262,0.29461,0.17127,0.79873,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,7396.48,0.56685,0.39057,0.94191,0.99774,0.99651,0.99497,0.95501,0.28975,0.1695,0.79621,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,7464.35,0.56456,0.38989,0.94181,0.99706,0.99726,0.99498,0.9558,0.28672,0.16935,0.79563,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,7532.8,0.56207,0.38536,0.93979,0.99865,0.99676,0.99496,0.95575,0.28499,0.16868,0.79567,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,7601.18,0.55721,0.38573,0.93969,0.99731,0.99702,0.99495,0.95638,0.28338,0.16649,0.79453,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,7669.44,0.5599,0.38785,0.94258,0.99706,0.99698,0.99494,0.95752,0.2815,0.16713,0.79456,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,7737.73,0.55431,0.38244,0.93759,0.9981,0.99683,0.99498,0.95792,0.27945,0.16485,0.79323,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,7806.6,0.54853,0.37681,0.93144,0.99668,0.99727,0.99496,0.95822,0.27642,0.16423,0.79209,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,7874.65,0.55553,0.3834,0.93838,0.99664,0.99715,0.99495,0.9584,0.27536,0.16399,0.79224,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,7943.48,0.54709,0.38001,0.93444,0.99751,0.99673,0.99491,0.95998,0.27261,0.16258,0.79152,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,8012.5,0.54558,0.3799,0.93346,0.9983,0.99727,0.99498,0.96051,0.27042,0.16108,0.79057,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,8081.97,0.54395,0.37456,0.93573,0.99757,0.99785,0.99498,0.96091,0.26778,0.15972,0.79011,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,8150.51,0.54043,0.36983,0.93088,0.99848,0.99709,0.99498,0.96169,0.26715,0.15946,0.7903,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,8218.23,0.54267,0.37496,0.93121,0.99836,0.99706,0.99497,0.9618,0.26514,0.15912,0.78957,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,8285.9,0.54253,0.37469,0.93048,0.99873,0.99699,0.99498,0.96316,0.26208,0.15783,0.78848,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,8354.41,0.53133,0.36313,0.92715,0.99822,0.99804,0.99496,0.96332,0.2601,0.15684,0.78818,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,8424.47,0.53427,0.36859,0.93015,0.99854,0.99766,0.99496,0.96314,0.25952,0.15632,0.78803,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,8493.5,0.53841,0.37269,0.93091,0.99855,0.99745,0.995,0.96393,0.25758,0.15597,0.78766,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,8561.38,0.5359,0.37137,0.92797,0.99837,0.99763,0.99499,0.96453,0.25539,0.15488,0.78676,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,8629.42,0.52876,0.36435,0.92559,0.99869,0.9982,0.995,0.9663,0.25244,0.15373,0.7863,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,8697.51,0.52641,0.36089,0.92431,0.99891,0.99769,0.99499,0.96638,0.25023,0.15271,0.78507,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,8766.14,0.52635,0.3627,0.92285,0.99889,0.99787,0.995,0.96733,0.24869,0.15216,0.78474,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,8834.43,0.52417,0.36272,0.92515,0.99905,0.99773,0.995,0.96721,0.24722,0.15129,0.78458,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,8903.61,0.52454,0.3601,0.92397,0.99878,0.99754,0.995,0.968,0.2454,0.15088,0.78448,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,8972.76,0.51542,0.3551,0.92201,0.99834,0.99821,0.995,0.96838,0.2439,0.14948,0.78411,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,9040.4,0.52091,0.36155,0.92251,0.99914,0.99786,0.995,0.96938,0.24087,0.1484,0.78341,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
